loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade
3600,3600,3600,36 months,13.99,123.03,C,C4
24700,24700,24700,36 months,11.99,820.28,C,C1
20000,20000,20000,60 months,10.78,432.66,B,B4
35000,35000,35000,60 months,14.85,829.9,C,C5
10400,10400,10400,60 months,22.45,289.91,F,F1
11950,11950,11950,36 months,13.44,405.18,C,C3
20000,20000,20000,36 months,9.17,637.58,B,B2
20000,20000,20000,36 months,8.49,631.26,B,B1
10000,10000,10000,36 months,6.49,306.45,A,A2
8000,8000,8000,36 months,11.48,263.74,B,B5
22400,22400,22400,60 months,12.88,508.3,C,C2
16000,16000,16000,60 months,12.88,363.07,C,C2
1400,1400,1400,36 months,12.88,47.1,C,C2
18000,18000,18000,60 months,19.48,471.7,E,E2
28000,28000,28000,36 months,6.49,858.05,A,A2
9600,9600,9600,36 months,7.49,298.58,A,A4
25000,25000,25000,36 months,7.49,777.55,A,A4
18000,18000,18000,60 months,11.99,400.31,C,C1
23000,23000,23000,60 months,8.49,471.77,B,B1
8650,8650,8650,36 months,19.89,320.99,E,E3
29900,29900,29900,60 months,12.88,678.49,C,C2
16000,16000,16000,60 months,14.85,379.39,C,C5
28000,28000,28000,36 months,13.44,949.38,C,C3
5000,5000,5000,36 months,13.44,169.54,C,C3
6000,6000,6000,36 months,7.49,186.61,A,A4
4225,4225,4225,36 months,14.85,146.16,C,C5
20000,20000,20000,36 months,5.32,602.3,A,A1
16000,16000,16000,60 months,17.97,406.04,D,D4
17600,17600,17600,36 months,5.32,530.03,A,A1
15000,15000,15000,36 months,5.32,451.73,A,A1
16000,16000,16000,36 months,12.88,538.18,C,C2
24250,24250,24250,60 months,24.24,701.01,F,F3
12000,12000,12000,36 months,10.78,391.62,B,B4
25000,25000,25000,60 months,13.99,581.58,C,C4
16800,16800,16800,60 months,12.88,381.23,C,C2
7000,7000,7000,36 months,7.49,217.72,A,A4
21000,21000,21000,60 months,13.99,488.53,C,C4
27500,27500,27500,60 months,14.85,652.06,C,C5
7200,7200,7200,36 months,11.48,237.36,B,B5
20000,20000,20000,36 months,14.85,691.84,C,C5
20000,20000,20000,36 months,15.77,700.88,D,D1
10000,10000,10000,60 months,17.97,253.78,D,D4
16000,16000,16000,60 months,13.99,372.21,C,C4
20000,20000,20000,36 months,9.8,643.47,B,B3
8650,8650,8650,36 months,5.32,260.5,A,A1
21000,21000,21000,60 months,13.44,482.56,C,C3
7200,7200,7200,36 months,15.77,252.32,D,D1
8800,8800,8800,36 months,9.8,283.13,B,B3
14650,14650,14650,60 months,20.5,392.23,E,E4
2500,2500,2500,36 months,17.27,89.47,D,D3
11000,11000,11000,36 months,9.17,350.67,B,B2
23850,23850,23850,60 months,17.27,596.21,D,D3
15700,15700,15700,60 months,16.59,386.74,D,D2
28800,28800,28800,60 months,11.99,640.5,C,C1
10000,10000,10000,36 months,12.88,336.37,C,C2
24000,24000,24000,60 months,9.8,507.58,B,B3
28000,28000,28000,60 months,18.49,718.51,D,D5
35000,35000,35000,60 months,11.99,778.38,C,C1
7200,7200,7200,36 months,9.17,229.53,B,B2
10000,10000,10000,36 months,7.91,312.95,A,A5
16000,16000,16000,60 months,13.44,367.67,C,C3
21875,21875,21875,36 months,11.99,726.46,C,C1
14025,14025,14025,60 months,18.49,359.9,D,D5
35000,35000,35000,60 months,12.88,794.21,C,C2
20000,20000,20000,36 months,12.88,672.73,C,C2
14000,14000,14000,60 months,14.85,331.96,C,C5
16000,16000,16000,60 months,8.49,328.19,B,B1
28000,28000,28000,60 months,14.85,663.92,C,C5
20000,20000,20000,60 months,13.99,465.27,C,C4
17600,17600,17600,60 months,19.89,465.22,E,E3
4200,4200,4200,36 months,13.44,142.41,C,C3
19000,19000,19000,60 months,14.85,450.52,C,C5
15850,15850,15850,60 months,23.13,448.01,F,F2
10000,10000,10000,60 months,11.99,222.4,C,C1
30000,30000,30000,36 months,15.77,1051.31,D,D1
1500,1500,1500,36 months,6.49,45.97,A,A2
25000,25000,25000,36 months,5.32,752.87,A,A1
16250,16250,16250,60 months,13.44,373.41,C,C3
20200,20200,20200,60 months,18.49,518.35,D,D5
23975,23975,23975,60 months,19.89,633.73,E,E3
15000,15000,15000,60 months,10.78,324.5,B,B4
10000,10000,10000,36 months,10.78,326.35,B,B4
15000,15000,15000,36 months,8.49,473.45,B,B1
23100,23100,23100,60 months,20.5,618.46,E,E4
27300,27300,27300,36 months,17.27,977,D,D3
25000,25000,25000,60 months,11.48,549.57,B,B5
15000,15000,15000,36 months,10.78,489.52,B,B4
10000,10000,10000,60 months,16.59,246.33,D,D2
18500,18500,18500,60 months,12.88,419.8,C,C2
5000,5000,5000,36 months,7.91,156.48,A,A5
9000,9000,9000,36 months,9.17,286.92,B,B2
11000,11000,11000,36 months,6.49,337.09,A,A2
20000,20000,20000,36 months,6.49,612.89,A,A2
15000,15000,15000,36 months,5.32,451.73,A,A1
12000,12000,12000,36 months,5.32,361.38,A,A1
8000,8000,8000,36 months,10.78,261.08,B,B4
12000,12000,12000,36 months,10.78,391.62,B,B4
18000,18000,18000,36 months,7.49,559.83,A,A4
3600,3600,3600,36 months,11.48,118.68,B,B5
7200,7200,7200,36 months,17.27,257.67,D,D3
15000,15000,15000,60 months,13.44,344.69,C,C3
5000,5000,5000,36 months,9.8,160.87,B,B3
11550,11550,11550,60 months,16.59,284.51,D,D2
33600,33600,33600,36 months,10.78,1096.53,B,B4
17925,17925,17925,60 months,17.27,448.09,D,D3
17475,17475,17475,36 months,13.99,597.17,C,C4
9000,9000,9000,36 months,8.49,284.07,B,B1
12000,12000,12000,60 months,9.8,253.79,B,B3
4000,4000,4000,36 months,9.17,127.52,B,B2
10500,10500,10500,36 months,15.77,367.96,D,D1
14000,14000,14000,36 months,9.8,450.43,B,B3
6000,6000,6000,36 months,7.91,187.77,A,A5
16000,16000,16000,60 months,12.88,363.07,C,C2
15000,15000,15000,36 months,9.8,482.61,B,B3
12000,12000,12000,36 months,9.17,382.55,B,B2
10000,10000,10000,36 months,11.48,329.67,B,B5
4200,4200,4200,36 months,13.99,143.53,C,C4
35000,35000,35000,60 months,20.5,937.06,E,E4
5475,5475,5475,36 months,18.99,200.67,E,E1
16000,16000,16000,60 months,7.91,323.74,A,A5
6000,6000,6000,36 months,13.44,203.44,C,C3
24000,24000,24000,36 months,9.17,765.1,B,B2
10000,10000,10000,36 months,12.88,336.37,C,C2
6900,6900,6900,36 months,19.89,256.05,E,E3
22400,22400,22400,60 months,9.8,473.74,B,B3
15975,15975,15975,36 months,16.59,566.3,D,D2
21600,21600,21600,36 months,13.44,732.38,C,C3
24000,24000,24000,60 months,13.99,558.32,C,C4
14400,14400,14400,60 months,19.48,377.36,E,E2
8000,8000,8000,36 months,13.99,273.39,C,C4
7000,7000,7000,36 months,13.99,239.21,C,C4
20000,20000,20000,36 months,10.78,652.7,B,B4
25825,25825,25825,60 months,26.06,774.14,F,F5
24575,24575,24575,60 months,22.45,685.04,F,F1
3200,3200,3200,36 months,8.49,101.01,B,B1
22875,22875,22875,60 months,15.77,553.49,D,D1
16000,16000,16000,60 months,14.85,379.39,C,C5
35000,35000,35000,36 months,13.44,1186.72,C,C3
2400,2400,2400,36 months,17.27,85.89,D,D3
25000,25000,25000,36 months,7.49,777.55,A,A4
8800,8800,8800,36 months,12.88,296,C,C2
2500,2500,2500,36 months,11.48,82.42,B,B5
8000,8000,8000,36 months,5.32,240.92,A,A1
20000,20000,20000,36 months,11.99,664.2,C,C1
35000,35000,35000,60 months,12.88,794.21,C,C2
15000,15000,15000,36 months,7.49,466.53,A,A4
16000,16000,16000,36 months,15.77,560.7,D,D1
10800,10800,10800,60 months,13.99,251.25,C,C4
7500,7500,7500,36 months,17.97,271.04,D,D4
16000,16000,16000,36 months,10.78,522.16,B,B4
9000,9000,9000,36 months,5.32,271.04,A,A1
9500,9500,9500,36 months,15.77,332.92,D,D1
10000,10000,10000,36 months,7.91,312.95,A,A5
6000,6000,6000,36 months,7.91,187.77,A,A5
15600,15600,15600,60 months,13.44,358.48,C,C3
35000,35000,35000,36 months,8.49,1104.71,B,B1
5000,5000,5000,36 months,11.48,164.84,B,B5
20400,20400,20400,60 months,18.49,523.48,D,D5
8000,8000,8000,36 months,17.97,289.1,D,D4
16000,16000,16000,36 months,10.78,522.16,B,B4
18000,18000,18000,36 months,7.91,563.31,A,A5
35000,35000,35000,36 months,9.17,1115.77,B,B2
13150,13150,13150,36 months,5.32,396.01,A,A1
5600,5600,5600,36 months,9.17,178.53,B,B2
23000,23000,23000,36 months,9.8,739.99,B,B3
12600,12600,12600,60 months,14.85,298.77,C,C5
11000,11000,11000,36 months,16.59,389.94,D,D2
4000,4000,4000,36 months,11.99,132.84,C,C1
20000,20000,20000,60 months,13.44,459.58,C,C3
20000,20000,20000,36 months,11.48,659.33,B,B5
10000,10000,10000,36 months,9.17,318.79,B,B2
18850,18850,18850,36 months,21.48,714.83,E,E5
21000,21000,21000,60 months,11.99,467.03,C,C1
10500,10500,10500,36 months,8.49,331.42,B,B1
4575,4575,4575,36 months,17.27,163.73,D,D3
5000,5000,5000,36 months,11.48,164.84,B,B5
8000,8000,8000,36 months,6.99,246.99,A,A3
5000,5000,5000,36 months,11.99,166.05,C,C1
9075,9075,9075,36 months,5.32,273.3,A,A1
24000,24000,24000,60 months,12.88,544.61,C,C2
12500,12500,12500,36 months,7.49,388.78,A,A4
19600,19600,19600,60 months,15.77,474.25,D,D1
35000,35000,35000,36 months,13.99,1196.05,C,C4
28000,28000,28000,60 months,8.49,574.33,B,B1
14000,14000,14000,60 months,15.77,338.75,D,D1
16000,16000,16000,36 months,9.8,514.78,B,B3
14000,14000,14000,36 months,5.32,421.61,A,A1
24000,24000,24000,36 months,8.49,757.51,B,B1
35000,35000,35000,36 months,13.99,1196.05,C,C4
14550,14550,14550,60 months,15.77,352.06,D,D1
8000,8000,8000,36 months,11.48,263.74,B,B5
32400,32400,32400,60 months,9.8,685.23,B,B3
3600,3600,3600,36 months,13.44,122.07,C,C3
10500,10500,10500,36 months,13.99,358.82,C,C4
3000,3000,3000,36 months,11.48,98.9,B,B5
16000,16000,16000,36 months,14.85,553.48,C,C5
8000,8000,8000,36 months,7.49,248.82,A,A4
19500,19500,19500,36 months,7.49,606.49,A,A4
2000,2000,2000,36 months,8.49,63.13,B,B1
16000,16000,16000,36 months,5.32,481.84,A,A1
3500,3500,3500,36 months,10.78,114.23,B,B4
14000,14000,14000,60 months,9.17,291.78,B,B2
24000,24000,24000,36 months,11.48,791.2,B,B5
6000,6000,6000,36 months,5.32,180.69,A,A1
24000,24000,24000,36 months,7.91,751.08,A,A5
14875,14875,14875,60 months,18.49,381.71,D,D5
10000,10000,10000,36 months,11.99,332.1,C,C1
15000,15000,15000,36 months,6.99,463.09,A,A3
10000,10000,10000,36 months,5.32,301.15,A,A1
18000,18000,18000,60 months,9.17,375.14,B,B2
24000,24000,24000,60 months,19.48,628.93,E,E2
23525,23525,23525,60 months,17.97,597,D,D4
12000,12000,12000,60 months,9.17,250.1,B,B2
11000,11000,11000,36 months,10.78,358.99,B,B4
24000,24000,24000,36 months,9.17,765.1,B,B2
15000,15000,15000,60 months,16.59,369.49,D,D2
16000,16000,16000,36 months,8.49,505.01,B,B1
15000,15000,15000,60 months,7.91,303.51,A,A5
5000,5000,5000,36 months,11.99,166.05,C,C1
19100,19100,19100,60 months,10.78,413.19,B,B4
15000,15000,15000,36 months,10.78,489.52,B,B4
30000,30000,30000,60 months,18.49,769.83,D,D5
15000,15000,15000,36 months,9.8,482.61,B,B3
3500,3500,3500,36 months,13.99,119.61,C,C4
20000,20000,20000,36 months,9.17,637.58,B,B2
10000,10000,10000,60 months,13.44,229.79,C,C3
35000,35000,35000,60 months,18.49,898.13,D,D5
16000,16000,16000,60 months,14.85,379.39,C,C5
2000,2000,2000,36 months,11.99,66.42,C,C1
12000,12000,12000,36 months,9.8,386.09,B,B3
8000,8000,8000,36 months,6.99,246.99,A,A3
10000,10000,10000,36 months,9.8,321.74,B,B3
25000,25000,25000,60 months,7.91,505.84,A,A5
35000,35000,35000,36 months,13.99,1196.05,C,C4
25600,25600,25600,60 months,7.91,517.98,A,A5
4325,4325,4325,36 months,11.99,143.64,C,C1
6000,6000,6000,36 months,6.99,185.24,A,A3
18200,18200,18200,60 months,15.77,440.37,D,D1
10000,10000,10000,36 months,6.99,308.73,A,A3
30000,30000,30000,60 months,13.44,689.37,C,C3
13200,13200,13200,36 months,5.32,397.52,A,A1
10000,10000,10000,36 months,6.99,308.73,A,A3
3000,3000,3000,36 months,11.48,98.9,B,B5
20000,20000,20000,36 months,9.8,643.47,B,B3
13875,13875,13875,60 months,11.99,308.58,C,C1
18000,18000,18000,36 months,6.49,551.61,A,A2
15225,15225,15225,36 months,8.49,480.55,B,B1
16000,16000,16000,60 months,11.48,351.73,B,B5
21000,21000,21000,60 months,9.8,444.13,B,B3
13000,13000,13000,60 months,16.59,320.23,D,D2
20000,20000,20000,36 months,7.91,625.9,A,A5
31075,31075,31075,36 months,7.49,966.49,A,A4
18000,18000,18000,36 months,6.99,555.71,A,A3
5000,5000,5000,36 months,9.17,159.4,B,B2
4675,4675,4675,36 months,17.27,167.31,D,D3
6000,6000,6000,36 months,9.8,193.05,B,B3
12000,12000,12000,60 months,12.88,272.31,C,C2
13000,13000,13000,60 months,13.99,302.42,C,C4
1800,1800,1800,36 months,11.48,59.34,B,B5
4475,4475,4475,36 months,16.59,158.64,D,D2
14400,14400,14400,36 months,6.49,441.29,A,A2
5875,5875,5875,36 months,7.91,183.86,A,A5
20000,20000,20000,36 months,17.97,722.75,D,D4
10000,10000,10000,36 months,6.99,308.73,A,A3
34100,34100,34100,60 months,12.88,773.79,C,C2
24000,24000,24000,36 months,11.48,791.2,B,B5
30000,30000,30000,60 months,18.49,769.83,D,D5
5200,5200,5200,36 months,10.78,169.71,B,B4
16800,16800,16800,36 months,11.99,557.93,C,C1
10000,10000,10000,36 months,11.99,332.1,C,C1
22000,22000,22000,60 months,17.97,558.3,D,D4
28000,28000,28000,36 months,5.32,843.22,A,A1
7200,7200,7200,36 months,6.49,220.65,A,A2
18000,18000,18000,36 months,11.99,597.78,C,C1
8400,8400,8400,36 months,7.49,261.26,A,A4
5000,5000,5000,36 months,14.85,172.96,C,C5
5000,5000,5000,36 months,9.8,160.87,B,B3
2400,2400,2400,36 months,11.48,79.12,B,B5
15000,15000,15000,36 months,5.32,451.73,A,A1
6075,6075,6075,36 months,9.17,193.67,B,B2
20000,20000,20000,36 months,10.78,652.7,B,B4
6025,6025,6025,36 months,14.85,208.42,C,C5
8400,8400,8400,36 months,9.17,267.79,B,B2
15000,15000,15000,60 months,12.88,340.38,C,C2
19200,19200,19200,60 months,8.49,393.83,B,B1
12000,12000,12000,36 months,15.77,420.53,D,D1
28800,28800,28800,36 months,12.88,968.73,C,C2
5000,5000,5000,36 months,5.32,150.58,A,A1
5000,5000,5000,36 months,12.88,168.19,C,C2
31500,31500,31500,60 months,11.99,700.55,C,C1
24000,24000,24000,60 months,18.49,615.86,D,D5
20000,20000,20000,60 months,12.88,453.84,C,C2
24000,24000,24000,60 months,10.78,519.19,B,B4
21850,21850,21850,60 months,17.27,546.21,D,D3
9500,9500,9500,36 months,6.49,291.13,A,A2
20000,20000,20000,36 months,8.49,631.26,B,B1
20000,20000,20000,60 months,13.44,459.58,C,C3
20000,20000,20000,60 months,16.59,492.66,D,D2
20000,20000,20000,60 months,12.88,453.84,C,C2
25200,25200,25200,60 months,13.44,579.07,C,C3
12000,12000,12000,36 months,6.99,370.48,A,A3
10000,10000,10000,36 months,12.88,336.37,C,C2
12000,12000,12000,60 months,9.8,253.79,B,B3
12000,12000,12000,60 months,7.91,242.81,A,A5
6425,6425,6425,36 months,15.77,225.16,D,D1
12700,12700,12700,36 months,17.97,458.95,D,D4
35000,35000,35000,36 months,13.99,1196.05,C,C4
16000,16000,16000,60 months,13.44,367.67,C,C3
15000,15000,15000,36 months,13.99,512.6,C,C4
20550,20550,20550,60 months,16.59,506.21,D,D2
25000,25000,25000,36 months,6.99,771.82,A,A3
14000,14000,14000,60 months,19.48,366.88,E,E2
16925,16925,16925,60 months,21.48,462.46,E,E5
4700,4700,4700,36 months,13.44,159.36,C,C3
5000,5000,5000,36 months,8.49,157.82,B,B1
12000,12000,12000,36 months,14.85,415.11,C,C5
12000,12000,12000,36 months,9.8,386.09,B,B3
15000,15000,15000,36 months,6.99,463.09,A,A3
4900,4900,4900,36 months,13.44,166.15,C,C3
18000,18000,18000,36 months,7.49,559.83,A,A4
18000,18000,18000,60 months,14.85,426.81,C,C5
25000,25000,25000,36 months,17.27,894.69,D,D3
15000,15000,15000,36 months,12.88,504.55,C,C2
3600,3600,3600,36 months,11.48,118.68,B,B5
33000,33000,33000,36 months,8.49,1041.58,B,B1
14950,14950,14950,60 months,18.99,387.73,E,E1
15000,15000,15000,36 months,12.88,504.55,C,C2
7000,7000,7000,36 months,16.59,248.15,D,D2
15000,15000,15000,60 months,16.59,369.49,D,D2
35000,35000,35000,36 months,12.88,1177.27,C,C2
8000,8000,8000,36 months,8.49,252.51,B,B1
20000,20000,20000,36 months,11.99,664.2,C,C1
14375,14375,14375,60 months,19.89,379.98,E,E3
21000,21000,21000,36 months,9.17,669.46,B,B2
3700,3700,3700,36 months,12.88,124.46,C,C2
8400,8400,8400,36 months,9.17,267.79,B,B2
7200,7200,7200,36 months,11.48,237.36,B,B5
16800,16800,16800,36 months,8.49,530.26,B,B1
9000,9000,9000,36 months,5.32,271.04,A,A1
6000,6000,6000,36 months,13.99,205.04,C,C4
34000,34000,34000,36 months,10.78,1109.58,B,B4
20000,20000,20000,60 months,11.99,444.79,C,C1
16000,16000,16000,36 months,12.88,538.18,C,C2
11200,11200,11200,36 months,8.49,353.51,B,B1
21000,21000,21000,60 months,18.49,538.88,D,D5
16000,16000,16000,60 months,12.88,363.07,C,C2
6000,6000,6000,36 months,7.91,187.77,A,A5
9100,9100,9100,36 months,6.49,278.87,A,A2
10000,10000,10000,36 months,6.99,308.73,A,A3
28000,28000,28000,60 months,10.78,605.73,B,B4
30000,30000,30000,60 months,27.49,924.87,G,G2
8450,8450,8450,36 months,11.99,280.63,C,C1
8775,8775,8775,36 months,22.45,337.17,F,F1
6000,6000,6000,36 months,5.32,180.69,A,A1
10000,10000,10000,36 months,5.32,301.15,A,A1
10000,10000,10000,36 months,15.77,350.44,D,D1
7200,7200,7200,36 months,17.27,257.67,D,D3
20000,20000,20000,60 months,14.85,474.23,C,C5
20000,20000,20000,36 months,9.17,637.58,B,B2
5000,5000,5000,36 months,5.32,150.58,A,A1
15000,15000,15000,60 months,9.8,317.24,B,B3
23950,23950,23950,36 months,17.97,865.49,D,D4
15000,15000,15000,36 months,10.78,489.52,B,B4
2250,2250,2250,36 months,8.49,71.02,B,B1
14000,14000,14000,36 months,13.44,474.69,C,C3
14000,14000,14000,36 months,12.88,470.91,C,C2
18000,18000,18000,36 months,7.49,559.83,A,A4
12000,12000,12000,36 months,5.32,361.38,A,A1
5600,5600,5600,36 months,10.78,182.76,B,B4
35000,35000,35000,36 months,16.59,1240.72,D,D2
8000,8000,8000,36 months,12.88,269.09,C,C2
2400,2400,2400,36 months,13.44,81.38,C,C3
35000,35000,35000,36 months,17.27,1252.56,D,D3
35000,35000,35000,60 months,10.78,757.16,B,B4
7000,7000,7000,36 months,12.88,235.46,C,C2
8000,8000,8000,36 months,11.99,265.68,C,C1
6125,6125,6125,36 months,17.27,219.2,D,D3
10400,10400,10400,36 months,13.44,352.63,C,C3
30000,30000,30000,36 months,7.91,938.85,A,A5
4000,4000,4000,36 months,14.85,138.37,C,C5
10000,10000,10000,36 months,10.78,326.35,B,B4
16000,16000,16000,36 months,7.91,500.72,A,A5
24000,24000,24000,60 months,17.27,599.96,D,D3
19225,19225,19225,60 months,26.99,586.93,G,G1
13000,13000,13000,60 months,12.88,295,C,C2
16800,16800,16800,60 months,9.17,350.13,B,B2
2000,2000,2000,36 months,6.49,61.29,A,A2
19200,19200,19200,36 months,5.32,578.21,A,A1
10000,10000,10000,60 months,13.44,229.79,C,C3
35000,35000,35000,36 months,7.91,1095.33,A,A5
15000,15000,15000,36 months,12.88,504.55,C,C2
35000,35000,35000,36 months,15.77,1226.53,D,D1
18000,18000,18000,36 months,8.49,568.14,B,B1
8000,8000,8000,36 months,9.8,257.39,B,B3
15000,15000,15000,60 months,12.88,340.38,C,C2
17400,17400,17400,60 months,8.49,356.91,B,B1
35000,35000,35000,36 months,11.99,1162.34,C,C1
12000,12000,12000,36 months,9.17,382.55,B,B2
24000,24000,24000,36 months,9.17,765.1,B,B2
8000,8000,8000,36 months,7.91,250.36,A,A5
16775,16775,16775,60 months,19.89,443.41,E,E3
8000,8000,8000,36 months,8.49,252.51,B,B1
21000,21000,21000,36 months,10.78,685.33,B,B4
20000,20000,20000,60 months,13.44,459.58,C,C3
10000,10000,10000,36 months,12.88,336.37,C,C2
6000,6000,6000,36 months,7.91,187.77,A,A5
6000,6000,6000,36 months,18.49,218.4,D,D5
8400,8400,8400,36 months,11.48,276.92,B,B5
10000,10000,10000,60 months,12.88,226.92,C,C2
6000,6000,6000,36 months,9.17,191.28,B,B2
20000,20000,20000,36 months,8.49,631.26,B,B1
4600,4600,4600,36 months,11.99,152.77,C,C1
20000,20000,20000,36 months,17.27,715.75,D,D3
15000,15000,15000,36 months,9.17,478.19,B,B2
12000,12000,12000,36 months,12.88,403.64,C,C2
5000,5000,5000,36 months,10.78,163.18,B,B4
6000,6000,6000,36 months,10.78,195.81,B,B4
10050,10050,10050,60 months,17.27,251.23,D,D3
6000,6000,6000,36 months,5.32,180.69,A,A1
28000,28000,28000,60 months,20.5,749.65,E,E4
15000,15000,15000,36 months,5.32,451.73,A,A1
10500,10500,10500,36 months,8.49,331.42,B,B1
10000,10000,10000,36 months,13.44,339.07,C,C3
3600,3600,3600,36 months,7.49,111.97,A,A4
10000,10000,10000,36 months,11.48,329.67,B,B5
30000,30000,30000,36 months,8.49,946.89,B,B1
8000,8000,8000,36 months,11.99,265.68,C,C1
15000,15000,15000,60 months,16.59,369.49,D,D2
21600,21600,21600,36 months,8.49,681.76,B,B1
12000,12000,12000,36 months,9.17,382.55,B,B2
28000,28000,28000,36 months,7.91,876.26,A,A5
6400,6400,6400,36 months,11.48,210.99,B,B5
15000,15000,15000,36 months,9.17,478.19,B,B2
13000,13000,13000,36 months,7.91,406.84,A,A5
10000,10000,10000,36 months,13.44,339.07,C,C3
24800,24800,24800,36 months,7.91,776.12,A,A5
12000,12000,12000,60 months,10.78,259.6,B,B4
10800,10800,10800,60 months,8.49,221.53,B,B1
15000,15000,15000,36 months,11.99,498.15,C,C1
24000,24000,24000,36 months,5.32,722.76,A,A1
2000,2000,2000,36 months,13.44,67.82,C,C3
22600,22600,22600,36 months,15.77,791.99,D,D1
13500,13500,13500,36 months,23.13,523.5,F,F2
6000,6000,6000,36 months,10.78,195.81,B,B4
20000,20000,20000,60 months,9.8,422.98,B,B3
5000,5000,5000,36 months,6.49,153.23,A,A2
20000,20000,20000,36 months,7.49,622.04,A,A4
12000,12000,12000,36 months,9.8,386.09,B,B3
32000,32000,32000,36 months,11.48,1054.93,B,B5
15200,15200,15200,60 months,13.99,353.6,C,C4
12500,12500,12500,60 months,11.99,278,C,C1
21000,21000,21000,36 months,10.78,685.33,B,B4
16000,16000,16000,36 months,8.49,505.01,B,B1
24650,24650,24650,36 months,11.48,812.63,B,B5
11000,11000,11000,36 months,7.91,344.25,A,A5
22400,22400,22400,60 months,14.85,531.14,C,C5
15125,15125,15125,60 months,18.49,388.12,D,D5
8725,8725,8725,36 months,11.99,289.76,C,C1
8000,8000,8000,36 months,7.91,250.36,A,A5
8000,8000,8000,36 months,9.17,255.04,B,B2
11000,11000,11000,36 months,14.85,380.52,C,C5
11725,11725,11725,60 months,18.99,304.09,E,E1
28500,28500,28500,60 months,18.99,739.15,E,E1
25000,25000,25000,36 months,6.49,766.12,A,A2
7000,7000,7000,36 months,9.17,223.16,B,B2
12000,12000,12000,36 months,9.8,386.09,B,B3
20000,20000,20000,60 months,8.49,410.24,B,B1
5875,5875,5875,36 months,15.77,205.89,D,D1
18000,18000,18000,60 months,18.49,461.9,D,D5
28000,28000,28000,36 months,7.91,876.26,A,A5
35000,35000,35000,60 months,9.8,740.21,B,B3
31800,31800,31800,60 months,16.59,783.32,D,D2
25000,25000,25000,60 months,17.97,634.43,D,D4
16000,16000,16000,36 months,17.27,572.6,D,D3
25000,25000,25000,60 months,10.78,540.83,B,B4
35000,35000,35000,60 months,16.59,862.15,D,D2
18000,18000,18000,36 months,7.91,563.31,A,A5
10000,10000,10000,36 months,7.49,311.02,A,A4
8000,8000,8000,36 months,14.85,276.74,C,C5
12000,12000,12000,60 months,13.44,275.75,C,C3
15000,15000,15000,36 months,5.32,451.73,A,A1
20000,20000,20000,60 months,11.99,444.79,C,C1
14000,14000,14000,60 months,19.89,370.06,E,E3
20500,20500,20500,36 months,8.49,647.04,B,B1
4700,4700,4700,36 months,13.99,160.62,C,C4
28000,28000,28000,60 months,9.17,583.55,B,B2
12000,12000,12000,36 months,7.91,375.54,A,A5
7200,7200,7200,36 months,7.91,225.33,A,A5
11000,11000,11000,36 months,7.49,342.12,A,A4
11000,11000,11000,60 months,13.99,255.9,C,C4
3500,3500,3500,36 months,9.8,112.61,B,B3
23850,23850,23850,36 months,13.44,808.67,C,C3
3600,3600,3600,36 months,15.77,126.16,D,D1
15000,15000,15000,36 months,7.91,469.43,A,A5
16500,16500,16500,36 months,11.99,547.96,C,C1
8275,8275,8275,36 months,10.78,270.06,B,B4
35000,35000,35000,36 months,17.27,1252.56,D,D3
20000,20000,20000,36 months,5.32,602.3,A,A1
22800,22800,22800,36 months,5.32,686.62,A,A1
